variant,strategy,fold,annual_return,annual_volatility,net_sharpe,sortino,calmar,max_drawdown,cumulative_return,worst_week,worst_month,cvar_95,positive_day_rate,annual_turnover,fees,slippage,funding,btc_beta,btc_correlation,observations
nested_expanding,time_series_slot_3,2026_ytd,-0.1519364421366442,0.1353456041941495,-1.1225812839750273,-1.4338503932061113,-0.9430928148741065,-0.16110444246882127,-0.10881713097595802,-0.06925711402926749,-0.07416705094234577,-0.01790650739866943,0.48659003831417624,10.254753642175787,0.0036664256172710685,0.0036664256172710685,-0.0034757210664590416,-0.20834518441277955,-0.7044916946053482,261
nested_expanding,time_series_ensemble,2022,-0.045656166539359055,0.19410252060630578,-0.2352167627537539,-0.36829298211142564,-0.19968863017769845,-0.22863678567342893,-0.062359015455964895,-0.04424946860118317,-0.09521709589396232,-0.022044116769821244,0.4767123287671233,8.285523174134756,0.004142761587067378,0.004142761587067378,-0.006837271146060291,-0.1775192964267819,-0.5840679185859017,365
nested_expanding,time_series_ensemble,2023,0.13047161193872459,0.19429277290712754,0.6715206643382992,1.0061598407117798,0.8948551289958458,-0.14580193789036244,0.11813592796966965,-0.06752110911708387,-0.05258362299940067,-0.02252153622166626,0.4575342465753425,15.443097787203083,0.007721548893601541,0.007721548893601541,-0.015478330460518502,0.023928095560763984,0.0543983720016235,365
nested_expanding,time_series_ensemble,2024,-0.09687049537126396,0.23765009099025552,-0.4076181707636543,-0.5596302528030154,-0.2800772634310468,-0.3458706150744466,-0.11789533180532608,-0.07613094474644544,-0.12000395607694814,-0.030322240722168426,0.49453551912568305,15.876656867148881,0.007960077278597932,0.00796007727859793,-0.027112302488661172,0.027671025559858377,0.06190061369351628,366
nested_expanding,time_series_ensemble,2025,-0.04460156780417519,0.17364937516269052,-0.2568484209193865,-0.3445731636721899,-0.22624523367960095,-0.19713815437693627,-0.05792001159541604,-0.04019242620064922,-0.07527062573619303,-0.02204961261766446,0.5123287671232877,17.513758311845287,0.008756879155922642,0.008756879155922642,-0.004010781005677368,-0.24141125286505905,-0.5801471863804794,365
nested_expanding,time_series_ensemble,2026_ytd,-0.1980848838380586,0.18009008820323538,-1.099921077358326,-1.4049437401514795,-0.9490486364942206,-0.20871942303166136,-0.14209857507678214,-0.09074968087588497,-0.09727272679158205,-0.02376632137134549,0.48659003831417624,13.19510397155353,0.004717701556952701,0.004717701556952701,-0.004658350067437075,-0.27665083602526874,-0.7030379064779542,261
nested_expanding,breakout_slot_1,2022,0.007443354156997304,0.1924488868656636,0.03867704447775289,0.06218101940072764,0.037616074780227576,-0.1978769502263381,-0.010894643904455825,-0.039887595807931,-0.08825732512993634,-0.021326424850996343,0.4794520547945205,7.938612676165013,0.003969306338082506,0.003969306338082506,-0.007262330346888236,-0.1978172859434926,-0.6564441689585272,365
nested_expanding,breakout_slot_1,2023,0.07787307362018285,0.14601005245746193,0.5333404947777148,0.7685230433566722,0.6775640652169447,-0.11493093807336019,0.06955642738783774,-0.05620287479813535,-0.03641406838777428,-0.01766146106908653,0.4767123287671233,11.498001498908508,0.0057490007494542545,0.005749000749454254,-0.010454050957570144,0.006395745828541446,0.01934830183959209,365
nested_expanding,breakout_slot_1,2024,-0.049426983733742165,0.17620534230897983,-0.2805078613738674,-0.396122525641882,-0.20263222681632023,-0.24392459437632386,-0.06302932811270989,-0.05762755912088846,-0.0598199694415853,-0.021748939692814117,0.4918032786885246,11.346568020131592,0.005688827253928989,0.005688827253928989,-0.01814351495749946,0.01929969710448787,0.058228969689161185,366
nested_expanding,breakout_slot_1,2025,0.011298043280502075,0.13756692397279338,0.08212761435835034,0.11399692404575132,0.08072768607248741,-0.13995252224072519,0.001856136815415299,-0.04560120508636056,-0.06217047937498221,-0.01687431797755246,0.5205479452054794,7.664129016065202,0.003832064508032601,0.003832064508032601,-0.001169509615600188,-0.1945058946656983,-0.5900280334927673,365
nested_expanding,breakout_slot_1,2026_ytd,-0.09824752894835098,0.142884531054912,-0.6876008775967039,-0.8826675297491813,-0.6936743457958335,-0.14163350503561478,-0.07461929685714541,-0.07782381681311668,-0.07519060085375218,-0.01889935599641891,0.5134099616858238,8.683020118146997,0.0031044770559402273,0.0031044770559402273,-0.00377287997551433,-0.2335575962303157,-0.7480753575874336,261
nested_expanding,breakout_slot_2,2022,0.010827333206939321,0.1922655496214169,0.05631447354067866,0.09032010343116129,0.055326329828407614,-0.19569946606832334,-0.0075067263147931,-0.039835551687458226,-0.08826608080797882,-0.021310286632345816,0.4821917808219178,7.852030196101181,0.003926015098050591,0.003926015098050591,-0.007467393543911908,-0.20089346652423354,-0.6672879746245236,365
